filename,newness
201800207.json,73.63481228668942
201800208.json,73.53438556933483
201800209.json,73.54748603351955
201800210.json,73.76344086021506
201800211.json,73.44736842105263
201800212.json,73.3143153526971
201800213.json,73.25551890383151
201800214.json,73.22376738305942
201800215.json,73.24120603015075
201800216.json,73.17806160781367
201800217.json,73.11908320876931
201800218.json,73.1358024691358
201800219.json,73.22738386308069
201800220.json,73.2976653696498
201800221.json,73.41012718982482
201800222.json,73.43155893536122
201800223.json,73.43155893536122
201800224.json,73.47035199622017
201800225.json,73.53010072616539
201800226.json,73.48891481913653
201800227.json,73.48220516399162
201800228.json,73.42738205365403
201800229.json,73.46703550023052
201800230.json,73.38948326883678
201800231.json,73.40883352208381
201800232.json,73.36796927942173
201800233.json,73.39490876323497
201800234.json,73.45706618962433
201800235.json,73.31410825199644
201800236.json,73.35693737552556
201800237.json,73.374476526339
201800238.json,73.31577792407286
201800239.json,73.11669128508123
201800240.json,73.14561882748477
201800241.json,72.9482651153127
201800242.json,72.8725612287256
201800243.json,72.77043765483072
201800244.json,72.82832441333882
201800245.json,72.82586453857172
201800246.json,72.72542234887034
201800247.json,72.69402681836652
201800248.json,72.68490374873353
201800249.json,72.67394822006472
201800250.json,72.68499797816416
201800251.json,72.66491829735727
201800252.json,72.68145161290323
201800253.json,72.91996830427892
201800254.json,72.95535361517187
201800255.json,72.80943025540275
201800256.json,72.80925308762988
201800257.json,72.89591876586604
201800258.json,72.89519735562902
201800259.json,72.89320388349515
201800260.json,72.88957888608577
201800261.json,72.87872917473848
201800262.json,72.86461359674607
201800263.json,72.8643216080402
201800264.json,72.87480680061825
201800265.json,72.87121065842827
201800266.json,72.85714285714285
201800267.json,72.85714285714285
201800268.json,72.82169648009233
201800269.json,72.93577981651376
201800270.json,73.02281368821293
201800271.json,73.13769751693002
201800272.json,73.07187089510228
201800273.json,73.1071964017991
201800274.json,73.00579114515226
201800275.json,73.01735398395223
201800276.json,72.97951582867785
201800277.json,72.97951582867785
201800278.json,72.98454663935952
201800279.json,72.97096053611318
201800280.json,72.97599106644333
201800281.json,72.87037037037038
201800282.json,72.78585895783465
201800283.json,72.84063818081789
201800284.json,72.76867030965391
201800285.json,72.73885350318471
201800286.json,72.72231314784506
201800287.json,72.53521126760563
201800288.json,72.5864553314121
201800289.json,72.59312578729529
201800290.json,72.62760603882099
201800291.json,72.64727011494253
201800292.json,72.66690595836324
201800293.json,72.6347732952517
201800294.json,72.63646093471282
201800295.json,72.63007840342124
201800296.json,72.58810964756141
201800297.json,72.64017033356991
201800298.json,72.60129801789161
201800299.json,72.59985984583042
201800300.json,72.61367580701146
201800301.json,72.62007976417549
201800302.json,72.62172933633686
201800303.json,72.59515570934256
201800304.json,72.61124525698517
201800305.json,72.62540941217031
201800306.json,72.62540941217031
201800307.json,72.68359643102265
201800308.json,72.68828272430949
201800309.json,72.67581475128645
201800310.json,72.66803840877914
201800311.json,72.66974516846247
201800312.json,72.68842932831994
201800313.json,72.7070879590094
201800314.json,72.72262026612077
201800315.json,72.71177773990114
201800316.json,72.69322437861764
201800317.json,72.73344651952462
201800318.json,72.74270196877121
201800319.json,72.74270196877121
201800320.json,72.74270196877121
201800321.json,72.74270196877121
201800322.json,72.74732733751908
201800323.json,72.74732733751908
201800324.json,72.75195113674924
201800325.json,72.75195113674924
201800326.json,72.66891891891892
201800327.json,72.68737339635382
201800328.json,72.34748010610079
201800329.json,72.3751442228449
201800330.json,72.26229508196721
201800331.json,72.19957606391651
201800332.json,72.19146857701074
201800333.json,72.15844785772029
201800334.json,71.95180722891567
201800335.json,71.84265010351967
201800336.json,71.79933533786992
201800337.json,71.79446640316206
201800338.json,71.798925071135
201800339.json,71.798925071135
201800340.json,71.60590823381521
201800341.json,71.48650756512245
201800342.json,71.36215713621571
201800343.json,71.32705082651012
201800344.json,71.31830811979006
201800345.json,71.185921958684
201800346.json,71.1362248014661
201800347.json,71.14063215758131
