order,cited_count,global,cluster
198,24,83.33333333333334,0
199,24,83.33333333333334,0
200,24,87.5,0
201,24,83.33333333333334,0
202,24,75.0,0
203,24,83.33333333333334,0
204,24,66.66666666666666,0
205,24,87.5,0
206,24,87.5,0
207,24,70.83333333333334,0
208,23,82.6086956521739,0
209,23,78.26086956521739,0
210,23,65.21739130434783,0
211,23,86.95652173913044,0
212,23,73.91304347826086,0
213,23,65.21739130434783,0
214,23,56.52173913043478,0
215,23,73.91304347826086,0
216,23,69.56521739130434,0
217,23,8.695652173913043,1
218,23,65.21739130434783,0
219,23,47.82608695652174,0
220,23,52.17391304347826,0
221,23,60.86956521739131,0
222,23,91.30434782608695,0
223,23,78.26086956521739,0
224,22,77.27272727272727,0
225,22,81.81818181818183,0
226,22,50.0,0
227,22,68.18181818181817,0
228,22,36.36363636363637,1
229,22,77.27272727272727,0
230,22,72.72727272727273,0
231,22,68.18181818181817,0
232,21,61.90476190476191,0
233,21,80.95238095238095,0
234,21,76.19047619047619,0
235,21,57.14285714285714,0
236,21,85.71428571428571,0
237,21,61.90476190476191,0
238,21,61.90476190476191,0
239,21,80.95238095238095,0
240,21,85.71428571428571,0
241,21,71.42857142857143,0
242,21,66.66666666666666,0
243,21,76.19047619047619,0
244,21,100.0,0
245,21,85.71428571428571,0
246,21,66.66666666666666,0
247,20,75.0,0
248,20,45.0,0
249,20,65.0,0
250,20,70.0,0
251,20,85.0,0
252,20,75.0,0
253,20,80.0,0
254,20,70.0,0
255,20,65.0,0
256,19,84.21052631578947,0
257,19,73.68421052631578,0
258,19,84.21052631578947,0
259,19,84.21052631578947,0
260,19,73.68421052631578,0
261,19,68.42105263157895,0
262,19,57.89473684210527,0
263,19,73.68421052631578,0
264,19,78.94736842105263,0
265,19,78.94736842105263,0
266,19,57.89473684210527,0
267,19,68.42105263157895,0
268,19,63.1578947368421,0
269,19,63.1578947368421,0
270,19,68.42105263157895,0
271,19,47.368421052631575,0
272,19,63.1578947368421,0
273,19,78.94736842105263,0
274,19,73.68421052631578,0
275,19,63.1578947368421,0
276,19,84.21052631578947,0
277,19,68.42105263157895,0
278,19,73.68421052631578,0
279,18,77.77777777777779,0
280,18,50.0,0
281,18,88.88888888888889,0
282,18,100.0,0
283,18,66.66666666666666,0
284,18,77.77777777777779,0
