order,cited_count,global,cluster
291,18,81.81818181818183,0
292,18,85.71428571428571,0
293,18,92.5925925925926,0
294,18,50.0,0
295,18,80.0,0
296,18,52.17391304347826,0
297,18,100.0,0
298,17,90.0,0
299,17,89.47368421052632,0
300,17,100.0,0
301,17,100.0,0
302,17,66.66666666666666,0
303,17,100.0,0
304,17,80.0,0
305,17,100.0,0
306,17,100.0,0
307,17,95.0,0
308,17,100.0,0
309,17,82.6086956521739,0
310,17,100.0,0
311,17,95.23809523809524,0
312,17,83.33333333333334,0
313,17,77.77777777777779,0
314,17,100.0,0
315,17,68.42105263157895,0
316,17,74.28571428571429,0
317,17,77.27272727272727,0
318,17,50.0,0
319,17,85.71428571428571,0
320,16,94.44444444444444,0
321,16,100.0,0
322,16,100.0,0
323,16,71.42857142857143,0
324,16,88.57142857142857,0
325,16,90.47619047619048,0
326,16,94.73684210526316,0
327,16,100.0,0
328,16,100.0,0
329,16,87.5,0
330,16,100.0,0
331,16,75.0,0
332,16,80.95238095238095,0
333,15,85.71428571428571,0
334,15,81.25,0
335,15,87.5,0
336,15,100.0,0
337,15,76.47058823529412,0
338,15,86.95652173913044,0
339,15,77.77777777777779,0
340,15,85.18518518518519,0
341,15,83.33333333333334,0
342,15,73.91304347826086,0
343,15,81.25,0
344,15,89.79591836734694,0
345,15,100.0,0
346,15,94.44444444444444,0
347,15,72.22222222222221,0
348,15,87.5,0
349,15,100.0,0
350,15,88.23529411764706,0
351,15,60.0,0
352,15,100.0,0
353,15,52.63157894736842,0
354,15,94.73684210526316,0
355,14,100.0,0
