order,cited_count,year,subject,country
32,66,"['2024~9', '2023~15', '2022~11', '2021~11', '2020~12', '2019~8']","['Agricultural and Biological Sciences~46', 'Immunology and Microbiology~19', 'Environmental Science~18', 'Veterinary~16', 'Biochemistry, Genetics and Molecular Biology~10', 'Medicine~10', 'Chemical Engineering~3', 'Neuroscience~3', 'Earth and Planetary Sciences~2', 'Energy~1']","['Thailand~31', 'India~13', 'China~10', 'United Kingdom~8', 'Germany~7', 'Malaysia~7', 'Poland~4', 'United States~4', 'Brazil~3', 'Israel~3']"
33,66,"['2024~7', '2023~14', '2022~12', '2021~16', '2020~10', '2019~6', '2018~1']","['Agricultural and Biological Sciences~53', 'Biochemistry, Genetics and Molecular Biology~20', 'Chemistry~13', 'Chemical Engineering~8', 'Engineering~8', 'Environmental Science~8', 'Immunology and Microbiology~8', 'Social Sciences~6', 'Health Professions~5', 'Earth and Planetary Sciences~4']","['China~19', 'Serbia~11', 'Croatia~7', 'Brazil~6', 'Bosnia and Herzegovina~4', 'Germany~4', 'Romania~4', 'India~3', 'Indonesia~3', 'Iran~3']"
34,65,"['2024~12', '2023~9', '2022~8', '2021~18', '2020~9', '2019~8', '2018~1']","['Agricultural and Biological Sciences~30', 'Pharmacology, Toxicology and Pharmaceutics~20', 'Environmental Science~18', 'Biochemistry, Genetics and Molecular Biology~13', 'Medicine~11', 'Immunology and Microbiology~10', 'Chemistry~5', 'Social Sciences~5', 'Health Professions~4', 'Chemical Engineering~2']","['Nigeria~13', 'Italy~12', 'United States~11', 'Spain~9', 'China~8', 'India~5', 'Netherlands~4', 'Russian Federation~4', 'Thailand~4', 'Austria~3']"
35,63,"['2024~10', '2023~13', '2022~18', '2021~11', '2020~9', '2019~2']","['Agricultural and Biological Sciences~32', 'Biochemistry, Genetics and Molecular Biology~31', 'Chemistry~16', 'Immunology and Microbiology~9', 'Pharmacology, Toxicology and Pharmaceutics~9', 'Chemical Engineering~7', 'Engineering~6', 'Computer Science~3', 'Health Professions~3', 'Medicine~3']","['China~25', 'Thailand~7', 'South Korea~6', 'Malaysia~5', 'United States~5', 'Turkey~4', 'Italy~3', 'France~2', 'Germany~2', 'India~2']"
36,62,"['2024~10', '2023~12', '2022~15', '2021~14', '2020~4', '2019~5', '2018~2']","['Materials Science~39', 'Chemistry~27', 'Engineering~10', 'Biochemistry, Genetics and Molecular Biology~8', 'Agricultural and Biological Sciences~6', 'Environmental Science~6', 'Physics and Astronomy~6', 'Chemical Engineering~4', 'Medicine~3', 'Earth and Planetary Sciences~2']","['Malaysia~14', 'India~10', 'China~5', 'France~4', 'Mexico~4', 'Poland~4', 'Spain~4', 'Brazil~3', 'Iran~3', 'United States~3']"
37,61,"['2025~1', '2024~9', '2023~13', '2022~11', '2021~12', '2020~11', '2019~4']","['Agricultural and Biological Sciences~52', 'Biochemistry, Genetics and Molecular Biology~16', 'Immunology and Microbiology~7', 'Environmental Science~6', 'Medicine~5', 'Chemistry~2', 'Multidisciplinary~2', 'Veterinary~2', 'Chemical Engineering~1', 'Computer Science~1']","['China~20', 'Thailand~9', 'Australia~6', 'Brazil~6', 'India~5', 'Italy~5', 'South Korea~5', 'Indonesia~4', 'United States~4', 'Malaysia~3']"
38,61,"['2024~6', '2023~13', '2022~13', '2021~12', '2020~5', '2019~11', '2018~1']","['Materials Science~30', 'Chemistry~16', 'Biochemistry, Genetics and Molecular Biology~14', 'Agricultural and Biological Sciences~10', 'Chemical Engineering~10', 'Engineering~10', 'Environmental Science~9', 'Energy~6', 'Physics and Astronomy~5', 'Economics, Econometrics and Finance~4']","['China~28', 'Indonesia~10', 'Malaysia~7', 'India~6', 'Thailand~6', 'United States~4', 'United Kingdom~3', 'Brazil~2', 'Australia~1', 'Austria~1']"
39,59,"['2024~14', '2023~10', '2022~11', '2021~7', '2020~10', '2019~6', '2018~1']","['Chemistry~29', 'Materials Science~29', 'Physics and Astronomy~21', 'Chemical Engineering~17', 'Engineering~13', 'Biochemistry, Genetics and Molecular Biology~6', 'Energy~6', 'Environmental Science~5', 'Agricultural and Biological Sciences~3', 'Mathematics~2']","['India~16', 'Thailand~8', 'Saudi Arabia~7', 'South Korea~6', 'Pakistan~5', 'Turkey~5', 'Mexico~4', 'Algeria~3', 'China~3', 'Egypt~3']"
40,59,"['2024~8', '2023~17', '2022~8', '2021~11', '2020~9', '2019~6']","['Engineering~56', 'Materials Science~34', 'Computer Science~2', 'Mathematics~2', 'Chemistry~1', 'Earth and Planetary Sciences~1', 'Environmental Science~1', 'Multidisciplinary~1', 'Physics and Astronomy~1']","['China~36', 'Australia~9', 'Hong Kong~7', 'United States~7', 'Thailand~6', 'Pakistan~4', 'South Korea~4', 'United Arab Emirates~3', 'Indonesia~2', 'Brazil~1']"
41,58,"['2025~2', '2024~4', '2023~9', '2022~11', '2021~9', '2020~14', '2019~7', '2018~2']","['Agricultural and Biological Sciences~27', 'Biochemistry, Genetics and Molecular Biology~20', 'Chemistry~12', 'Chemical Engineering~9', 'Engineering~8', 'Environmental Science~8', 'Immunology and Microbiology~8', 'Pharmacology, Toxicology and Pharmaceutics~8', 'Energy~6', 'Earth and Planetary Sciences~4']","['China~10', 'France~6', 'Thailand~6', 'Brazil~5', 'India~5', 'United Kingdom~5', 'Iran~4', 'Mexico~4', 'Indonesia~3', 'Italy~3']"
