filename,scopus_link,citedby_link
201800573.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85045554892&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85045554892&origin=inward
201800574.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85044354013&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85044354013&origin=inward
201800575.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85044348543&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85044348543&origin=inward
201800576.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85041125789&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85041125789&origin=inward
201800577.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85039550392&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85039550392&origin=inward
201800578.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85033368103&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85033368103&origin=inward
201800579.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85021350022&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85021350022&origin=inward
201800580.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85020257587&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85020257587&origin=inward
201800581.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85019564217&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85019564217&origin=inward
201800582.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85017422433&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85017422433&origin=inward
201800583.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84957541768&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84957541768&origin=inward
201800584.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85056283210&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85056283210&origin=inward
201800585.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85056270686&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85056270686&origin=inward
201800586.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85056255685&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85056255685&origin=inward
201800587.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85062587239&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85062587239&origin=inward
201800588.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85053637584&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85053637584&origin=inward
201800589.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85054090269&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85054090269&origin=inward
201800590.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85055862909&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85055862909&origin=inward
201800591.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85055862684&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85055862684&origin=inward
201800592.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85054006461&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85054006461&origin=inward
201800593.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85055071704&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85055071704&origin=inward
201800594.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85054019175&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85054019175&origin=inward
201800595.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85052290827&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85052290827&origin=inward
201800596.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85061346445&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85061346445&origin=inward
201800597.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85031894420&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85031894420&origin=inward
201800598.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85052316786&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85052316786&origin=inward
201800599.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85048511029&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85048511029&origin=inward
201800600.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85054987287&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85054987287&origin=inward
201800601.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85054036077&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85054036077&origin=inward
201800602.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85053871016&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85053871016&origin=inward
201800603.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85052968257&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85052968257&origin=inward
201800604.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85051248196&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85051248196&origin=inward
201800605.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85049426244&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85049426244&origin=inward
201800606.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85049352779&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85049352779&origin=inward
201800607.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85049347430&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85049347430&origin=inward
201800608.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85047160029&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85047160029&origin=inward
201800609.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85047143481&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85047143481&origin=inward
201800610.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85046714400&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85046714400&origin=inward
201800611.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85053464931&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85053464931&origin=inward
201800612.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85053353970&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85053353970&origin=inward
201800613.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85052054378&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85052054378&origin=inward
201800614.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85051645134&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85051645134&origin=inward
201800615.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85053256200&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85053256200&origin=inward
201800616.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85054858889&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85054858889&origin=inward
201800617.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85054843179&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85054843179&origin=inward
201800618.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85054832573&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85054832573&origin=inward
201800619.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85054789153&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85054789153&origin=inward
201800620.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85054534174&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85054534174&origin=inward
201800621.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85053335454&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85053335454&origin=inward
201800622.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85053316158&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85053316158&origin=inward
