order,citations_count,title,cities_link,main_link
1032,1,Development of a Thermal/Visible Image Fusion System for Situation Awareness,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85059959966,https://www.scopus.com/record/display.uri?eid=2-s2.0-85059959966&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=1031
1033,1,On generating function for Dk-sequences in Pascal’s triangle,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85058678960,https://www.scopus.com/record/display.uri?eid=2-s2.0-85058678960&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=1032
1034,1,Management of Thailand's protected areas with adaptation to a changing environment,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85195312083,https://www.scopus.com/record/display.uri?eid=2-s2.0-85195312083&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=1033
1035,1,The social and policy contexts of environmental resources in Thailand,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85081887417,https://www.scopus.com/record/display.uri?eid=2-s2.0-85081887417&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=1034
1036,1,"Morphological Variation of Ingerophrynus parvus (Boulenger, 1887) in Peninsular Thailand",https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85056473669,https://www.scopus.com/record/display.uri?eid=2-s2.0-85056473669&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=1035
1037,1,The roles of calcium lactate on bruised damage in papaya fruit,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85063463566,https://www.scopus.com/record/display.uri?eid=2-s2.0-85063463566&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=1036
1038,1,The zero-inflated negative Binomial-Erlang distribution: An application to highly pathogenic avian influenza H5N1 in thailand,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85062910209,https://www.scopus.com/record/display.uri?eid=2-s2.0-85062910209&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=1037
1039,1,"Encapsulation of ferrocene in carbon nanotubes using low-temperature solution processing: influence of surface environment, diameter, and length",https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85053068504,https://www.scopus.com/record/display.uri?eid=2-s2.0-85053068504&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=1038
1040,1,Estimation of the Operating Force from the Human Motion,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85056659343,https://www.scopus.com/record/display.uri?eid=2-s2.0-85056659343&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=1039
1041,1,The Probability of Winning a Racquetball Game with Deuce,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85057003118,https://www.scopus.com/record/display.uri?eid=2-s2.0-85057003118&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=1040
1042,1,Evaluating the state of stress and seismic hazard in Thailand and vicinity through finite element modeling,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85051387668,https://www.scopus.com/record/display.uri?eid=2-s2.0-85051387668&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=1041
1043,1,Elemental distribution of the greenish-Thai decorative glass,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85054917527,https://www.scopus.com/record/display.uri?eid=2-s2.0-85054917527&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=1042
1044,1,Classifying Consumer Purchasing Decision for Imported Ready-to-Eat Foods in China Using Comparative Models,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85054315990,https://www.scopus.com/record/display.uri?eid=2-s2.0-85054315990&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=1043
